known_developer,known_publisher,multi_player,single_player,co-op,mmo,in_app_purchases,achievements,positive_ratings,average_playtime,median_playtime,price,owners,owners
1,1,1,0,0,0,0,0,0.97,17612,317,7.19,10000000-20000000,15000000
1,1,1,0,0,0,0,0,0.84,277,62,3.99,5000000-10000000,7500000
1,1,1,0,0,0,0,0,0.9,187,34,3.99,5000000-10000000,7500000
1,1,1,0,0,0,0,0,0.83,258,184,3.99,5000000-10000000,7500000
1,1,1,1,0,0,0,0,0.95,624,415,3.99,5000000-10000000,7500000
1,1,1,0,0,0,0,0,0.8,175,10,3.99,5000000-10000000,7500000
1,1,1,1,0,0,0,0,0.96,1300,83,7.19,5000000-10000000,7500000
1,1,1,1,0,0,0,0,0.89,427,43,7.19,10000000-20000000,15000000
1,1,0,1,0,0,0,0,0.9,361,205,3.99,5000000-10000000,7500000
1,1,0,1,0,0,0,33,0.97,691,402,7.19,10000000-20000000,15000000
1,1,1,0,0,0,0,147,0.96,6842,400,7.19,10000000-20000000,15000000
1,1,0,1,0,0,0,0,0.78,190,214,0.0,2000000-5000000,3500000
1,1,1,0,0,0,0,54,0.9,1356,134,7.19,5000000-10000000,7500000
1,1,1,0,0,0,0,0,0.88,311,32,3.99,10000000-20000000,15000000
1,1,0,1,0,0,0,0,0.85,46,29,0.0,10000000-20000000,15000000
1,1,1,0,0,0,0,0,0.74,102,81,0.0,5000000-10000000,7500000
1,1,0,1,0,0,0,13,0.94,281,184,5.79,5000000-10000000,7500000
1,1,0,1,0,0,0,15,0.98,288,137,7.19,10000000-20000000,15000000
1,1,0,1,0,0,0,22,0.95,354,301,5.79,5000000-10000000,7500000
1,1,1,0,0,0,1,520,0.94,8495,623,0.0,20000000-50000000,35000000
1,1,1,1,1,0,0,73,0.95,897,278,7.19,5000000-10000000,7500000
1,1,1,1,1,0,0,70,0.97,1615,566,7.19,10000000-20000000,15000000
1,1,1,0,1,0,1,0,0.86,23944,801,0.0,100000000-200000000,150000000
1,1,0,1,1,0,0,51,0.99,1102,520,7.19,10000000-20000000,15000000
1,1,1,1,1,0,0,66,0.95,371,83,0.0,2000000-5000000,3500000
1,1,1,0,0,0,1,167,0.87,22494,6502,0.0,50000000-100000000,75000000
0,0,1,1,0,0,0,0,0.7,0,0,5.99,20000-50000,35000
1,1,1,0,0,0,0,44,0.88,232,258,3.99,500000-1000000,750000
1,1,1,1,1,0,0,285,0.95,1328,306,14.99,2000000-5000000,3500000
0,0,0,1,0,0,0,0,0.89,0,0,7.19,100000-200000,150000
1,1,0,1,0,0,0,0,0.75,182,273,7.19,500000-1000000,750000
1,1,0,1,0,0,0,0,0.91,65,77,6.99,500000-1000000,750000
1,1,1,1,0,0,0,22,0.86,80,119,7.19,500000-1000000,750000
1,1,1,1,0,0,0,12,0.83,121,224,7.19,500000-1000000,750000
0,0,1,1,0,0,0,0,0.76,0,0,22.99,50000-100000,75000
0,0,1,1,0,0,0,0,0.81,0,0,6.99,50000-100000,75000
0,0,1,1,1,0,0,0,0.81,0,0,4.99,100000-200000,150000
0,0,1,1,1,0,0,0,0.76,9,12,4.99,100000-200000,150000
0,0,1,1,0,0,0,0,0.57,0,0,3.99,20000-50000,35000
